rank,track,primaryArtist,artistCredits,year,trackId,trackPlayUrl,trackPreviewUrl,trackPopularity,durationMs,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,albumName,albumArtUrl
1,"Goodnight Irene",Gordon Jenkins,Gordon Jenkins & The Weavers,1950-01-01T07:00:00.000Z,1fhLgOJgIIZEsWWffk8ljs,https://open.spotify.com/track/1fhLgOJgIIZEsWWffk8ljs,,15,202240,5,1,3,0.843,0.335,0.255,0,0.26,-10.561,0.0277,0.556,141.158,The Best Of The Decca Years,https://i.scdn.co/image/ab67616d00001e0221f4406a4e4ff4b99b99d506
2,"Mona Lisa",Nat King Cole,Nat King Cole,1950-01-01T07:00:00.000Z,5dae01pKNjRQtgOeAkFzPY,https://open.spotify.com/track/5dae01pKNjRQtgOeAkFzPY,,55,194987,1,1,3,0.952,0.241,0.237,0,0.113,-12.201,0.0371,0.303,174.578,Unforgettable,https://i.scdn.co/image/ab67616d00001e02fdd261528e3590ac36bb85f0
3,"Third Man Theme",Anton Karas,Anton Karas,1950-01-01T07:00:00.000Z,6XzXeNu7FuUttdTwVl0rG1,https://open.spotify.com/track/6XzXeNu7FuUttdTwVl0rG1,https://p.scdn.co/mp3-preview/ec2924fb4cdf2ccdfae912463488f6242b6e4f4d?cid=957b95b824cd41e99aa58c2c544d8191,21,127613,2,1,3,0.97,0.496,0.523,0.753,0.163,-11.518,0.0455,0.915,145.126,Classical Music: 50 of the Best Film Classics,https://i.scdn.co/image/ab67616d00001e026f535cfea3ddfb09c19c8f47
4,"Sam's Song",Gary,Gary & Bing Crosby,1950-01-01T07:00:00.000Z,1Wnlagmoyo7M7Ine1wY71p,https://open.spotify.com/track/1Wnlagmoyo7M7Ine1wY71p,,17,175200,5,0,4,0.879,0.78,0.186,0.00000284,0.152,-14.828,0.0794,0.548,117.87,Bing-His Legendary Years 1931-1957,https://i.scdn.co/image/ab67616d00001e02f2d081693e25cc52d620802f
5,"Simple Melody",Gary,Gary & Bing Crosby,1950-01-01T07:00:00.000Z,33FdwvfiSBRbE2AQ4UehaR,https://open.spotify.com/track/33FdwvfiSBRbE2AQ4UehaR,,13,175693,10,1,3,0.768,0.658,0.229,0.00000351,0.167,-13.755,0.0473,0.829,138.8,Bing-His Legendary Years 1931-1957,https://i.scdn.co/image/ab67616d00001e02f2d081693e25cc52d620802f
6,"Music, Music, Music",Teresa Brewer,Teresa Brewer,1950-01-01T07:00:00.000Z,68ZOKozM9xmlp1iwaQSwY7,https://open.spotify.com/track/68ZOKozM9xmlp1iwaQSwY7,,18,162400,2,1,4,0.678,0.758,0.449,0.0000633,0.0934,-14.431,0.0392,0.936,99.162,The Best Of Teresa Brewer,https://i.scdn.co/image/ab67616d00001e02b8f913d82e640cb8dbac90ea
7,"Third Man Theme",Guy Lombardo,Guy Lombardo,1950-01-01T07:00:00.000Z,6kVfwQOc2PjVPwbk0aEmN9,https://open.spotify.com/track/6kVfwQOc2PjVPwbk0aEmN9,,15,177333,0,1,4,0.886,0.809,0.195,0.636,0.0849,-10.808,0.0358,0.536,115.59,Enjoy Yourself: The Hits Of Guy Lombardo,https://i.scdn.co/image/ab67616d00001e023ac55e43d3840cc10857ea37
8,"Chattanoogie Shoe Shine Boy",Red Foley,Red Foley,1950-01-01T07:00:00.000Z,7Jf323ttHKUnPylFWiaGl3,https://open.spotify.com/track/7Jf323ttHKUnPylFWiaGl3,,40,169000,10,1,4,0.613,0.725,0.373,0.0202,0.118,-15.925,0.0494,0.846,148.367,Country Music Hall Of Fame: Red Foley,https://i.scdn.co/image/ab67616d00001e02e620e5a233c1fb08e5da43fd
9,"Harbor Lights",Sammy Kaye,Sammy Kaye,1950-01-01T07:00:00.000Z,7hHOmImd35ZdKovBNSQXk8,https://open.spotify.com/track/7hHOmImd35ZdKovBNSQXk8,https://p.scdn.co/mp3-preview/e502a68692a43b6e02df055ac19564c39bc832f9?cid=957b95b824cd41e99aa58c2c544d8191,19,200760,2,1,4,0.99,0.216,0.0591,0.00218,0.112,-21.08,0.0325,0.131,83.344,Best Of The Big Bands,https://i.scdn.co/image/ab67616d00001e02e076e2c302f417d467868932
10,"It Isn't Fair",Sammy Kaye,Sammy Kaye & Don Cornell,1950-01-01T07:00:00.000Z,,,,,,,,,,,,,,,,,,,
11,"If I Knew You Were Coming I'd have Baked a Cake",Eileen Barton,Eileen Barton,1950-01-01T07:00:00.000Z,,,,,,,,,,,,,,,,,,,
12,"Bonaparte's Retreat",Kay Starr,Kay Starr,1950-01-01T07:00:00.000Z,6KGLzNnPIydq6vXQuWKmqF,https://open.spotify.com/track/6KGLzNnPIydq6vXQuWKmqF,,15,157973,8,1,4,0.814,0.646,0.29,0,0.223,-12.348,0.033,0.795,136.895,The Fabulous Favorites,https://i.scdn.co/image/ab67616d00001e02a655b8369348426fde51641b
13,"Tzena, Tzena, Tzena",Gordon Jenkins,Gordon Jenkins & The Weavers,1950-01-01T07:00:00.000Z,5ZBd3OHxnWiYcIpWMINIQg,https://open.spotify.com/track/5ZBd3OHxnWiYcIpWMINIQg,,6,165907,10,1,4,0.686,0.605,0.657,0.00000357,0.344,-8.13,0.0835,0.917,151.679,The Best Of The Decca Years,https://i.scdn.co/image/ab67616d00001e0221f4406a4e4ff4b99b99d506
14,"There's No Tomorrow",Tony Martin,Tony Martin,1950-01-01T07:00:00.000Z,4Rnw6j0vSMg1EECshYK298,https://open.spotify.com/track/4Rnw6j0vSMg1EECshYK298,https://p.scdn.co/mp3-preview/4894498fe3dad539e9da0525dfc474b362dd4741?cid=957b95b824cd41e99aa58c2c544d8191,18,163190,8,1,4,0.924,0.365,0.333,0.339,0.137,-10.862,0.0317,0.322,97.064,Al Martino and the Tony Russo Orchestra,https://i.scdn.co/image/ab67616d00001e02acd2fad8cbf59c8ff3011e31
15,"The Thing",Phil Harris,Phil Harris,1950-01-01T07:00:00.000Z,4kCb5K4lyspz6G8cmW7saK,https://open.spotify.com/track/4kCb5K4lyspz6G8cmW7saK,https://p.scdn.co/mp3-preview/2874a40d61a623789d7e6945c181248467e57150?cid=957b95b824cd41e99aa58c2c544d8191,20,139507,2,1,3,0.884,0.838,0.686,0,0.384,-7.66,0.297,0.922,126.929,Radio Hits Of the '50s,https://i.scdn.co/image/ab67616d00001e02effdd709ce59723f85c8c703
16,"Sentimental Me",Ames Brothers,Ames Brothers,1950-01-01T07:00:00.000Z,0m6rLB1pvbae6hd63Npch0,https://open.spotify.com/track/0m6rLB1pvbae6hd63Npch0,https://p.scdn.co/mp3-preview/b06c23e14a88272463f4fcddba0ba22e31627cf0?cid=957b95b824cd41e99aa58c2c544d8191,9,205895,8,1,4,0.807,0.256,0.0841,0.0244,0.1,-21.863,0.0335,0.268,74.998,The Best Of The Ames,https://i.scdn.co/image/ab67616d00001e027b79e2759851dac965569852
17,"I Wanna Be Loved",Andrews Sisters,Andrews Sisters & Gordon Jenkins,1950-01-01T07:00:00.000Z,1VBj7RIbwUOjNetvbECBTz,https://open.spotify.com/track/1VBj7RIbwUOjNetvbECBTz,,16,197973,8,1,1,0.928,0.455,0.0792,0,0.138,-14.181,0.0413,0.22,112.112,Their Greatest Hits And Finest Performances,https://i.scdn.co/image/ab67616d00001e025dce3390d208e9ad03c3632d
18,"Tennessee Waltz",Patti Page,Patti Page,1950-01-01T07:00:00.000Z,0BHroBUvBAp561BYqC9LRK,https://open.spotify.com/track/0BHroBUvBAp561BYqC9LRK,,57,185000,5,1,3,0.969,0.373,0.124,0.000891,0.123,-12.95,0.0342,0.351,86.857,Golden Hits,https://i.scdn.co/image/ab67616d00001e0282aa266b6d8bef04b865dbf5
